Rank;Name;Central Mechanisms;Turn Order;Game End Condition;Duration;Theme;Player Amount;Cooperative;Complexity;Interactivity;Relative Rating;Change Rel. Rating;Rank Count;BGG Rating;My Rating;Author(s);Year Of Release;Similar Games;Played With;Play Count;Game Material
1;Trickerion: Legends of Illusion;0;0;0;0;0;0;;0;0;10.0;0;1;0;0;0;0;0;0;0;0
3;Dune: Imperium;card play conflict resolution/deck, bag and pool building/delayed purchase/force commitment/increase value of unchosen resources/multi-use cards/open drafting/tags/take that/variable player powers/worker placement;progressive;race/fixed turns;120;sciencefiction;2-4 (4);;4;3;9.97;-0.0;16;8.4;10;Paul Dennen;2020;;uni game night;3;board/cards/meeple resources
2;Barrage;action retrieval/contracts/income/network and route building/ownership/variable player powers/variable set-up/worker placement;stat based;fixed turns;120;industry/alternativehistory;1-4 (4);;4;4;9.95;0.0;16;8.2;10;Tommaso Battista/Simone Luciano;2019;;bga;20;board/player boards/meeple/resources
5;Brass: Birmingham;hand management/income/loans/market/network and route building/tags/tech tracks/variable set-up;stat based;running out;120;industrialization;2-4 (4);;4;4;9.94;-0.0;16;8.6;10;Martin Wallace/Matt Tolman/Gavan Brown;2018;;Thomas;1;board/cards/own tiles/resources
18;Darwin's Journey;contracts/different workers/ownership/point to point movement/set collection/variable set-up/worker placement;claim;fixed turns;90;adventure/victorianage/biology;1-4 (4);;4;2;9.92;-0.02;13;8.2;10;Simone Luciano/Nestore Mangone;2023;;Jannis;2;board/player boards,meeple/currency
4;The White Castle;action drafting/dice drafting/dice workers/multi-use cards/open drafting/variable set-up/worker placement;stat based;fixed turns;80;medieval/Japan;1-4 (3);;3;2;9.92;0.0;8;8;10;Isra C./Shei S.;2023;;own;10;0
7;Pax Pamir: Second Edition;action points/area majority/area movement/auction/bribery/increase value of unchosen resources/negotiation/open drafting/score and reset/simulation/tableau building/tags/take that;strict clockwise;condition/fixed turns;120;Afganistan;1-5 (4);;5;4;9.81;0.01;10;8.2;10;Cole Wehrle;2019;;bga;2;0
20;Alchemists;action drafting/action queue/constrained bidding/deduction/end game boni/events/hand management/open drafting/worker placement;progressive;fixed turns;120;alchemy;2-4 (4);;4;3;9.8;-0.01;9;7.6;9;Matus Kotry;2014;;Jannis;1;0
15;Anachrony;contracts/different workers/end game boni/variable player powers/tableau building/worker placement;claim;condition/fixed turns;90;sciencefiction;1-4 (3);;4;3;9.8;-0.0;9;8.1;9;David Turczi/Richard Amann/Viktor Peter;2017;;bga;5;0
13;Grand Austria Hotel;action drafting/contracts/dice drafting/end game boni/hand management/set collection/variable set-up;progressive;fixed turns;60;hotel;2-4 (2);;4;2;9.79;0.0;9;8;9;Virginio Gigli/Simone Luciani;2015;;Jannis;1;0
17;Clank!: A Deck-Building Adventure;action points/deck, bag and pool building/delayed purchase/end game boni/open drafting/player elimination/point to point movement/push your luck/variable set-up;strict clockwise;race/player elimination;45;fantasy;2-4 (3);;2;2;9.78;-0.0;10;7.8;9;Paul Dennen;2016;;Felix;1;0
